Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What was the leading cause of injury-related death in the U.S. in 2009?,What,280,drug overdose,Background,1,1.0,"['What', 'was', 'the', 'leading', 'cause', 'of', 'injury', '-', 'related', 'death', 'in', 'the', 'U.S.', 'in', '2009', '?']","['drug', 'overdose']",16,2
What is CNCP?,What,281,chronic non-cancer pain,Background,1,1.0,"['What', 'is', 'CNCP', '?']","['chronic', 'non', '-', 'cancer', 'pain']",4,5
How many Americans were affected by an OUD related to non-medical  use of prescription pain relievers in 2014?,How,282,1.9 million,Background,1,1.0,"['How', 'many', 'Americans', 'were', 'affected', 'by', 'an', 'OUD', 'related', 'to', 'non', '-', 'medical', ' ', 'use', 'of', 'prescription', 'pain', 'relievers', 'in', '2014', '?']","['1.9', 'million']",22,2
How many Americans died as a result of a  prescription drug overdose in 2014?,How,284,"18,893",Background,1,1.0,"['How', 'many', 'Americans', 'died', 'as', 'a', 'result', 'of', 'a', ' ', 'prescription', 'drug', 'overdose', 'in', '2014', '?']","['18,893']",16,1
What kind of increase has there been in the absolute number of deaths associated with the use of opioids between 2013 and 2014 alone?,What,285,14% increase,Background,0,0.6666666666666666,"['What', 'kind', 'of', 'increase', 'has', 'there', 'been', 'in', 'the', 'absolute', 'number', 'of', 'deaths', 'associated', 'with', 'the', 'use', 'of', 'opioids', 'between', '2013', 'and', '2014', 'alone', '?']","['14', '%', 'increase']",25,3
What was the outcome of the survey of patients prescribed opioids for chronic non-cancer pain and their family members?,What,287,"34% of patients reported that they thought they were “addicted” or “dependent” on opioid pain medication, 34% said that they used the medication for “fun” or to “get high,” while 22% used the medication to relieve day-to-day stress",Background,0,0.6153846153846153,"['What', 'was', 'the', 'outcome', 'of', 'the', 'survey', 'of', 'patients', 'prescribed', 'opioids', 'for', 'chronic', 'non', '-', 'cancer', 'pain', 'and', 'their', 'family', 'members', '?']","['34', '%', 'of', 'patients', 'reported', 'that', 'they', 'thought', 'they', 'were', '“', 'addicted', '”', 'or', '“', 'dependent', '”', 'on', 'opioid', 'pain', 'medication', ',', '34', '%', 'said', 'that', 'they', 'used', 'the', 'medication', 'for', '“', 'fun', '”', 'or', 'to', '“', 'get', 'high', ',', '”', 'while', '22', '%', 'used', 'the', 'medication', 'to', 'relieve', 'day', '-', 'to', '-', 'day', 'stress']",22,55
What is not static?,What,289,Suicide risk,Recommendations,1,1.0,"['What', 'is', 'not', 'static', '?']","['Suicide', 'risk']",5,2
"Why is ongoing assessment of suicide risk important whether one is initiating, maintaining,  or terminating LOT?",Why,290,"Suicide risk is not static, and many factors influence an individual’s risk of suicide at any given point in time, as noted in the VA/DoD  Suicide CPG.",Recommendations,0,0.2,"['Why', 'is', 'ongoing', 'assessment', 'of', 'suicide', 'risk', 'important', 'whether', 'one', 'is', 'initiating', ',', 'maintaining', ',', ' ', 'or', 'terminating', 'LOT', '?']","['Suicide', 'risk', 'is', 'not', 'static', ',', 'and', 'many', 'factors', 'influence', 'an', 'individual', '’s', 'risk', 'of', 'suicide', 'at', 'any', 'given', 'point', 'in', 'time', ',', 'as', 'noted', 'in', 'the', 'VA', '/', 'DoD', ' ', 'Suicide', 'CPG', '.']",20,34
What influence an individual’s risk of suicide at any given point in time?,What,291,many factors,Recommendations,1,1.0,"['What', 'influence', 'an', 'individual', '’s', 'risk', 'of', 'suicide', 'at', 'any', 'given', 'point', 'in', 'time', '?']","['many', 'factors']",15,2
Which represent an independent risk factor for suicide?,Which,292,certain chronic pain conditions,Recommendations,1,1.0,"['Which', 'represent', 'an', 'independent', 'risk', 'factor', 'for', 'suicide', '?']","['certain', 'chronic', 'pain', 'conditions']",9,4
What is associated with prescribed opioid dose?,What,294,suicide risk among Veterans receiving OT for CNCP,Recommendations,1,1.0,"['What', 'is', 'associated', 'with', 'prescribed', 'opioid', 'dose', '?']","['suicide', 'risk', 'among', 'Veterans', 'receiving', 'OT', 'for', 'CNCP']",8,8
What is represented by chronic pain conditions?,What,295,an independent risk factor for suicide,Recommendations,1,1.0,"['What', 'is', 'represented', 'by', 'chronic', 'pain', 'conditions', '?']","['an', 'independent', 'risk', 'factor', 'for', 'suicide']",8,6
When is it important to assess suicide risk?,When,296,"whether one is initiating, maintaining,  or terminating LOT",Recommendations,1,1.0,"['When', 'is', 'it', 'important', 'to', 'assess', 'suicide', 'risk', '?']","['whether', 'one', 'is', 'initiating', ',', 'maintaining', ',', ' ', 'or', 'terminating', 'LOT']",9,11
What is associated with suicide risk among Veterans receiving OT for CNCP?,What,298,prescribed opioid dose,Recommendations,1,1.0,"['What', 'is', 'associated', 'with', 'suicide', 'risk', 'among', 'Veterans', 'receiving', 'OT', 'for', 'CNCP', '?']","['prescribed', 'opioid', 'dose']",13,3
What is influenced by many factors?,What,299,an individual’s risk of suicide at any given point in time,Recommendations,0,0.9473684210526316,"['What', 'is', 'influenced', 'by', 'many', 'factors', '?']","['an', 'individual', '’s', 'risk', 'of', 'suicide', 'at', 'any', 'given', 'point', 'in', 'time']",7,12
What are some examples of comprehensive pain care plan?,What,300,"non-opioid treatments, self-management strategies",Algorithm,1,1.0,"['What', 'are', 'some', 'examples', 'of', 'comprehensive', 'pain', 'care', 'plan', '?']","['non', '-', 'opioid', 'treatments', ',', 'self', '-', 'management', 'strategies']",10,9
What to do if there are no indications to discontinue or taper?,What,302,reassess in 1-3 months or more frequently as determined by patient risk factors,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'are', 'no', 'indications', 'to', 'discontinue', 'or', 'taper', '?']","['reassess', 'in', '1', '-', '3', 'months', 'or', 'more', 'frequently', 'as', 'determined', 'by', 'patient', 'risk', 'factors']",13,15
What to do if a patient is not medically or psychiatrically unstable?,What,303,see if there is a clinically meaningful improvement in function in the absence of significant risk factors,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'a', 'patient', 'is', 'not', 'medically', 'or', 'psychiatrically', 'unstable', '?']","['see', 'if', 'there', 'is', 'a', 'clinically', 'meaningful', 'improvement', 'in', 'function', 'in', 'the', 'absence', 'of', 'significant', 'risk', 'factors']",13,17
What to do if there are indications to discontinue or taper?,What,304,taper to reduced dose or taper to discontinuation,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'are', 'indications', 'to', 'discontinue', 'or', 'taper', '?']","['taper', 'to', 'reduced', 'dose', 'or', 'taper', 'to', 'discontinuation']",12,8
Who should not be prescribed long-acting opioids?,Who,305,opioid-naive individuals,Algorithm,1,1.0,"['Who', 'should', 'not', 'be', 'prescribed', 'long', '-', 'acting', 'opioids', '?']","['opioid', '-', 'naive', 'individuals']",10,4
What to review and optimize during a follow-up?,What,306,comprehensive pain care plan,Algorithm,1,1.0,"['What', 'to', 'review', 'and', 'optimize', 'during', 'a', 'follow', '-', 'up', '?']","['comprehensive', 'pain', 'care', 'plan']",11,4
Which approach to follow when initiating OT?,Which,307,"short duration (e.g., 1 week initial prescription; no more than 3 months total), use the lowest effective dose recognizing that no dose is completely safe, long-acting opioids should not be prescribed for opioid-naive individuals, consider alternatives to methadone and transdermal fentanyl, assessment of improvement in pain and functional status and adverse effects, offer overdose education and naloxone distribution (OEND)",Algorithm,0,0.6024096385542169,"['Which', 'approach', 'to', 'follow', 'when', 'initiating', 'OT', '?']","['short', 'duration', '(', 'e.g.', ',', '1', 'week', 'initial', 'prescription', ';', 'no', 'more', 'than', '3', 'months', 'total', ')', ',', 'use', 'the', 'lowest', 'effective', 'dose', 'recognizing', 'that', 'no', 'dose', 'is', 'completely', 'safe', ',', 'long', '-', 'acting', 'opioids', 'should', 'not', 'be', 'prescribed', 'for', 'opioid', '-', 'naive', 'individuals', ',', 'consider', 'alternatives', 'to', 'methadone', 'and', 'transdermal', 'fentanyl', ',', 'assessment', 'of', 'improvement', 'in', 'pain', 'and', 'functional', 'status', 'and', 'adverse', 'effects', ',', 'offer', 'overdose', 'education', 'and', 'naloxone', 'distribution', '(', 'OEND', ')']",8,74
What is module B about?,What,308,treatment with opioid therapy,Algorithm,1,1.0,"['What', 'is', 'module', 'B', 'about', '?']","['treatment', 'with', 'opioid', 'therapy']",6,4
What to do if a patient is medically or psychiatrically unstable?,What,310,admit/provide medical and psychiatric treatment to stabilize as indicated,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'a', 'patient', 'is', 'medically', 'or', 'psychiatrically', 'unstable', '?']","['admit', '/', 'provide', 'medical', 'and', 'psychiatric', 'treatment', 'to', 'stabilize', 'as', 'indicated']",12,11
Who are provided opioid therapy treatment?,Who,311,the candidate for trial of OT with consent (in conjunction with a comprehensive pain care plan),Algorithm,0,0.6666666666666666,"['Who', 'are', 'provided', 'opioid', 'therapy', 'treatment', '?']","['the', 'candidate', 'for', 'trial', 'of', 'OT', 'with', 'consent', '(', 'in', 'conjunction', 'with', 'a', 'comprehensive', 'pain', 'care', 'plan', ')']",7,18
What can happen with a strategy of escalating dose during OT?,What,312,A strategy of escalating dose to achieve benefit increases risk and has not been shown to improve function.,Algorithm,0,0.8666666666666666,"['What', 'can', 'happen', 'with', 'a', 'strategy', 'of', 'escalating', 'dose', 'during', 'OT', '?']","['A', 'strategy', 'of', 'escalating', 'dose', 'to', 'achieve', 'benefit', 'increases', 'risk', 'and', 'has', 'not', 'been', 'shown', 'to', 'improve', 'function', '.']",12,19
What to do if there is no clinically meaningful improvement in function in the absence of significant risk factors?,What,313,"taper to discontinuation (consult Module C if needed), exit algorithm and manage with non-opioid modalities",Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'no', 'clinically', 'meaningful', 'improvement', 'in', 'function', 'in', 'the', 'absence', 'of', 'significant', 'risk', 'factors', '?']","['taper', 'to', 'discontinuation', '(', 'consult', 'Module', 'C', 'if', 'needed', ')', ',', 'exit', 'algorithm', 'and', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",20,20
What to assess during a follow-up with a patient?,What,314,"function, risks, and benefits of OT, progress toward functional treatment goals, adverse effects, adherence to treatment plan, complications or co-occurring conditions (e.g., medical, mental health, and/or SUD)",Algorithm,0,0.07142857142857142,"['What', 'to', 'assess', 'during', 'a', 'follow', '-', 'up', 'with', 'a', 'patient', '?']","['function', ',', 'risks', ',', 'and', 'benefits', 'of', 'OT', ',', 'progress', 'toward', 'functional', 'treatment', 'goals', ',', 'adverse', 'effects', ',', 'adherence', 'to', 'treatment', 'plan', ',', 'complications', 'or', 'co', '-', 'occurring', 'conditions', '(', 'e.g.', ',', 'medical', ',', 'mental', 'health', ',', 'and/or', 'SUD', ')']",12,40
What to do during a follow-up with a patient?,What,315,"assess function, risks, and benefits of OT, progress toward functional treatment goals, adverse effects, adherence to treatment plan, complications or co-occurring conditions (e.g., medical, mental health, and/or SUD); complete risk mitigation strategies; review and optimize comprehensive pain care plan",Algorithm,0,0.05,"['What', 'to', 'do', 'during', 'a', 'follow', '-', 'up', 'with', 'a', 'patient', '?']","['assess', 'function', ',', 'risks', ',', 'and', 'benefits', 'of', 'OT', ',', 'progress', 'toward', 'functional', 'treatment', 'goals', ',', 'adverse', 'effects', ',', 'adherence', 'to', 'treatment', 'plan', ',', 'complications', 'or', 'co', '-', 'occurring', 'conditions', '(', 'e.g.', ',', 'medical', ',', 'mental', 'health', ',', 'and/or', 'SUD', ')', ';', 'complete', 'risk', 'mitigation', 'strategies', ';', 'review', 'and', 'optimize', 'comprehensive', 'pain', 'care', 'plan']",12,54
What to do if the factors that increase risks of OT are present?,What,316,"consider one or more of the following: shortening prescribing interval, intensifying risk mitigation strategies, increasing intensity of monitoring, referring to interdisciplinary care and consulting with or referring to specialty care",Algorithm,0,0.8846153846153846,"['What', 'to', 'do', 'if', 'the', 'factors', 'that', 'increase', 'risks', 'of', 'OT', 'are', 'present', '?']","['consider', 'one', 'or', 'more', 'of', 'the', 'following', ':', 'shortening', 'prescribing', 'interval', ',', 'intensifying', 'risk', 'mitigation', 'strategies', ',', 'increasing', 'intensity', 'of', 'monitoring', ',', 'referring', 'to', 'interdisciplinary', 'care', 'and', 'consulting', 'with', 'or', 'referring', 'to', 'specialty', 'care']",14,34
How much dose escalation has not been shown to improve function and increase risk?,How,318,above 20-50 mg MEDD,Algorithm,1,1.0,"['How', 'much', 'dose', 'escalation', 'has', 'not', 'been', 'shown', 'to', 'improve', 'function', 'and', 'increase', 'risk', '?']","['above', '20', '-', '50', 'mg', 'MEDD']",15,6
Which factors can increase the risks of OT?,Which,319,"non-adherence, co-occurring conditions, behaviors suggesting OUD, indications for referral",Algorithm,1,1.0,"['Which', 'factors', 'can', 'increase', 'the', 'risks', 'of', 'OT', '?']","['non', '-', 'adherence', ',', 'co', '-', 'occurring', 'conditions', ',', 'behaviors', 'suggesting', 'OUD', ',', 'indications', 'for', 'referral']",9,16
What should be the duration and dosage when initiatiing opioid thrapy? ,What,320,"short duration (e.g., 1 week initial prescription; no more than 3 months total), use the lowest effective dose recognizing that no dose is completely safe",Algorithm,0,0.5882352941176471,"['What', 'should', 'be', 'the', 'duration', 'and', 'dosage', 'when', 'initiatiing', 'opioid', 'thrapy', '?']","['short', 'duration', '(', 'e.g.', ',', '1', 'week', 'initial', 'prescription', ';', 'no', 'more', 'than', '3', 'months', 'total', ')', ',', 'use', 'the', 'lowest', 'effective', 'dose', 'recognizing', 'that', 'no', 'dose', 'is', 'completely', 'safe']",12,30
What to do if the factors that increase risks of OT are not present?,What,321,see if there are indications to discontinue or taper,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'the', 'factors', 'that', 'increase', 'risks', 'of', 'OT', 'are', 'not', 'present', '?']","['see', 'if', 'there', 'are', 'indications', 'to', 'discontinue', 'or', 'taper']",15,9
What to do if there is a clinically meaningful improvement in function in the absence of significant risk factors?,What,322,"review and optimize comprehensive pain care plan (e.g., non-opioid treatments, self-management strategies)",Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'a', 'clinically', 'meaningful', 'improvement', 'in', 'function', 'in', 'the', 'absence', 'of', 'significant', 'risk', 'factors', '?']","['review', 'and', 'optimize', 'comprehensive', 'pain', 'care', 'plan', '(', 'e.g.', ',', 'non', '-', 'opioid', 'treatments', ',', 'self', '-', 'management', 'strategies', ')']",20,20
What are the treatment options for diarrhea?,What,323,"loperamide 4 mg orally initially, then 2 mg with each loose stool, not to exceed 16 mg daily; bismuth subsalicylate 524 mg every 0.5 to 1 hour orally, not to exceed 4192 mg/day",Specifications,0,0.7058823529411764,"['What', 'are', 'the', 'treatment', 'options', 'for', 'diarrhea', '?']","['loperamide', '4', 'mg', 'orally', 'initially', ',', 'then', '2', 'mg', 'with', 'each', 'loose', 'stool', ',', 'not', 'to', 'exceed', '16', 'mg', 'daily', ';', 'bismuth', 'subsalicylate', '524', 'mg', 'every', '0.5', 'to', '1', 'hour', 'orally', ',', 'not', 'to', 'exceed', '4192', 'mg', '/', 'day']",8,39
What is the treatment option for abdominal cramping?,What,324,dicyclomine 20 mg every 6 to 8 hours as needed,Specifications,1,1.0,"['What', 'is', 'the', 'treatment', 'option', 'for', 'abdominal', 'cramping', '?']","['dicyclomine', '20', 'mg', 'every', '6', 'to', '8', 'hours', 'as', 'needed']",9,10
What are the treatment options for nausea?,What,325,"prochlorperazine 5 to 10 mg every 4 hours as needed, promethazine 25 mg orally or rectally every 6 hours as needed, ondansetron 4 mg every 6 hours as needed",Specifications,0,0.5128205128205129,"['What', 'are', 'the', 'treatment', 'options', 'for', 'nausea', '?']","['prochlorperazine', '5', 'to', '10', 'mg', 'every', '4', 'hours', 'as', 'needed', ',', 'promethazine', '25', 'mg', 'orally', 'or', 'rectally', 'every', '6', 'hours', 'as', 'needed', ',', 'ondansetron', '4', 'mg', 'every', '6', 'hours', 'as', 'needed']",8,31
What does this guideline not cover?,What,326,the variety of ever-changing state regulations that may be pertinent,Introduction,1,1.0,"['What', 'does', 'this', 'guideline', 'not', 'cover', '?']","['the', 'variety', 'of', 'ever', '-', 'changing', 'state', 'regulations', 'that', 'may', 'be', 'pertinent']",7,12
Who must make the ultimate judgement regarding a particular clinical procedure or treatment course?,Who,327,the individual clinician,Introduction,0,0.2222222222222222,"['Who', 'must', 'make', 'the', 'ultimate', 'judgement', 'regarding', 'a', 'particular', 'clinical', 'procedure', 'or', 'treatment', 'course', '?']","['the', 'individual', 'clinician']",15,3
How are the standards of care determined?,How,330,on the basis of all clinical data available for an individual case and are subject to change as scientific knowledge and technology advances and patterns evolve,Introduction,1,1.0,"['How', 'are', 'the', 'standards', 'of', 'care', 'determined', '?']","['on', 'the', 'basis', 'of', 'all', 'clinical', 'data', 'available', 'for', 'an', 'individual', 'case', 'and', 'are', 'subject', 'to', 'change', 'as', 'scientific', 'knowledge', 'and', 'technology', 'advances', 'and', 'patterns', 'evolve']",8,26
Which groups had the highest prevalence of opioid use?,Which,337,"women and young adults (i.e., 18-34 years old)",Background,1,1.0,"['Which', 'groups', 'had', 'the', 'highest', 'prevalence', 'of', 'opioid', 'use', '?']","['women', 'and', 'young', 'adults', '(', 'i.e.', ',', '18', '-', '34', 'years', 'old', ')']",10,13
What was the increment of the prevalence of opioid prescriptions among Veterans from fiscal years 2004 to 2012?,What,338,"from  18.9% to 33.4%, an increase of 76.7%",Background,0,0.25,"['What', 'was', 'the', 'increment', 'of', 'the', 'prevalence', 'of', 'opioid', 'prescriptions', 'among', 'Veterans', 'from', 'fiscal', 'years', '2004', 'to', '2012', '?']","['from', ' ', '18.9', '%', 'to', '33.4', '%', ',', 'an', 'increase', 'of', '76.7', '%']",19,13
Who did carry 11 times the odds of OUD and overdose compared to patients ≥65 years old?,Who,344,patients 18-30 years old,Recommendations,1,1.0,"['Who', 'did', 'carry', '11', 'times', 'the', 'odds', 'of', 'OUD', 'and', 'overdose', 'compared', 'to', 'patients', '≥65', 'years', 'old', '?']","['patients', '18', '-', '30', 'years', 'old']",18,6
Who had roughly half the risk of developing OUD or overdose compared to subjects 18-29 years old?,Who,346,patients 30-39  years old,Recommendations,1,1.0,"['Who', 'had', 'roughly', 'half', 'the', 'risk', 'of', 'developing', 'OUD', 'or', 'overdose', 'compared', 'to', 'subjects', '18', '-', '29', 'years', 'old', '?']","['patients', '30', '-', '39', ' ', 'years', 'old']",20,7
Who did carry 5 times the odds of OUD and overdose compared to patients ≥65 years old?,Who,347,Patients 31-40 years,Recommendations,0,0.8571428571428571,"['Who', 'did', 'carry', '5', 'times', 'the', 'odds', 'of', 'OUD', 'and', 'overdose', 'compared', 'to', 'patients', '≥65', 'years', 'old', '?']","['Patients', '31', '-', '40', 'years']",18,5
What was the amount of risk of developing OUD or overdose in patients 30-39  years old compared to subjects 18-29 years old?,What,348,roughly half,Recommendations,0,0.6666666666666666,"['What', 'was', 'the', 'amount', 'of', 'risk', 'of', 'developing', 'OUD', 'or', 'overdose', 'in', 'patients', '30', '-', '39', ' ', 'years', 'old', 'compared', 'to', 'subjects', '18', '-', '29', 'years', 'old', '?']","['roughly', 'half']",28,2
What was the amount of risk of developing OUD or overdose in patients ≥70 years old compared to subjects 18-29 years old?,What,349,far less risk (nearly 1/17),Recommendations,1,1.0,"['What', 'was', 'the', 'amount', 'of', 'risk', 'of', 'developing', 'OUD', 'or', 'overdose', 'in', 'patients', '≥70', 'years', 'old', 'compared', 'to', 'subjects', '18', '-', '29', 'years', 'old', '?']","['far', 'less', 'risk', '(', 'nearly', '1/17', ')']",25,7
Who had far less risk of developing OUD or overdose compared to subjects 18-29 years old?,Who,352,patients ≥70 years old,Recommendations,1,1.0,"['Who', 'had', 'far', 'less', 'risk', 'of', 'developing', 'OUD', 'or', 'overdose', 'compared', 'to', 'subjects', '18', '-', '29', 'years', 'old', '?']","['patients', '≥70', 'years', 'old']",19,4
Who have an added great risk for OUD and overdose?,Who,354,younger patients using opioids,Recommendations,1,1.0,"['Who', 'have', 'an', 'added', 'great', 'risk', 'for', 'OUD', 'and', 'overdose', '?']","['younger', 'patients', 'using', 'opioids']",11,4
What should all patients in the healthcare system be offered?,What,356,access to evidence-based interventions appropriate to that  patient,Specifications,1,1.0,"['What', 'should', 'all', 'patients', 'in', 'the', 'healthcare', 'system', 'be', 'offered', '?']","['access', 'to', 'evidence', '-', 'based', 'interventions', 'appropriate', 'to', 'that', ' ', 'patient']",11,11
What can be used to convey openness to discuss any future concerns?,What,357,Improved patient-clinician communication through  patient-centered care,Specifications,1,1.0,"['What', 'can', 'be', 'used', 'to', 'convey', 'openness', 'to', 'discuss', 'any', 'future', 'concerns', '?']","['Improved', 'patient', '-', 'clinician', 'communication', 'through', ' ', 'patient', '-', 'centered', 'care']",13,11
What does VA/DoD CPGs encourage clinicians to do?,What,358,"to use a patient-centered care approach that is tailored to the patient’s  capabilities, needs, goals, prior treatment experience, and preferences",Specifications,0,0.9714285714285714,"['What', 'does', 'VA', '/', 'DoD', 'CPGs', 'encourage', 'clinicians', 'to', 'do', '?']","['to', 'use', 'a', 'patient', '-', 'centered', 'care', 'approach', 'that', 'is', 'tailored', 'to', 'the', 'patient', '’s', ' ', 'capabilities', ',', 'needs', ',', 'goals', ',', 'prior', 'treatment', 'experience', ',', 'and', 'preferences']",11,28
What is the purpose of patient-centered care?,What,359,"decrease patient anxiety, increase trust in  clinicians,[77] and improve treatment adherence",Specifications,0,0.9565217391304348,"['What', 'is', 'the', 'purpose', 'of', 'patient', '-', 'centered', 'care', '?']","['decrease', 'patient', 'anxiety', ',', 'increase', 'trust', 'in', ' ', 'clinicians,[77', ']', 'and', 'improve', 'treatment', 'adherence']",10,14
What is Module A about?,What,360,determination of appropriateness for opioid therapy,Algorithm,1,1.0,"['What', 'is', 'Module', 'A', 'about', '?']","['determination', 'of', 'appropriateness', 'for', 'opioid', 'therapy']",6,6
"When the patient is willing to engage in a comprehensive pain care plan, what to educate the patient and family about?",When,361,"treatment options, including education on known risks and unknown long-term benefits of OT, risks of SUD and overdose, need for risk mitigation strategies, naloxone rescue",Algorithm,0,0.2380952380952381,"['When', 'the', 'patient', 'is', 'willing', 'to', 'engage', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan', ',', 'what', 'to', 'educate', 'the', 'patient', 'and', 'family', 'about', '?']","['treatment', 'options', ',', 'including', 'education', 'on', 'known', 'risks', 'and', 'unknown', 'long', '-', 'term', 'benefits', 'of', 'OT', ',', 'risks', 'of', 'SUD', 'and', 'overdose', ',', 'need', 'for', 'risk', 'mitigation', 'strategies', ',', 'naloxone', 'rescue']",23,31
How to determine whether patient risks outweigh benefits?,How,363,by considering strength and number of risk factors and patient preference,Algorithm,1,1.0,"['How', 'to', 'determine', 'whether', 'patient', 'risks', 'outweigh', 'benefits', '?']","['by', 'considering', 'strength', 'and', 'number', 'of', 'risk', 'factors', 'and', 'patient', 'preference']",9,11
What to implement and optimize for patients who are in chronic pain and have not been on daily OT for pain for more than 3 months?,What,364,non-opioid treatments for chronic pain,Algorithm,0,0.5555555555555556,"['What', 'to', 'implement', 'and', 'optimize', 'for', 'patients', 'who', 'are', 'in', 'chronic', 'pain', 'and', 'have', 'not', 'been', 'on', 'daily', 'OT', 'for', 'pain', 'for', 'more', 'than', '3', 'months', '?']","['non', '-', 'opioid', 'treatments', 'for', 'chronic', 'pain']",27,7
What to do if adding OT to comprehensive pain therapy is indicated at this time?,What,365,see if the patient is prepared to accept responsibilities and the provider is prepared to implement risk mitigation strategies,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'adding', 'OT', 'to', 'comprehensive', 'pain', 'therapy', 'is', 'indicated', 'at', 'this', 'time', '?']","['see', 'if', 'the', 'patient', 'is', 'prepared', 'to', 'accept', 'responsibilities', 'and', 'the', 'provider', 'is', 'prepared', 'to', 'implement', 'risk', 'mitigation', 'strategies']",16,19
What to do if the treatments are not effective in managing pain and optimizing function?,What,366,complete opioid risk assessment and see if patient risks outweigh benefits by considering strength and number of risk factors and patient preference,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'the', 'treatments', 'are', 'not', 'effective', 'in', 'managing', 'pain', 'and', 'optimizing', 'function', '?']","['complete', 'opioid', 'risk', 'assessment', 'and', 'see', 'if', 'patient', 'risks', 'outweigh', 'benefits', 'by', 'considering', 'strength', 'and', 'number', 'of', 'risk', 'factors', 'and', 'patient', 'preference']",16,22
What to do if a patient is with chronic pain and has been on daily OT for pain for more than 3 months?,What,367,proceed to module D,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'a', 'patient', 'is', 'with', 'chronic', 'pain', 'and', 'has', 'been', 'on', 'daily', 'OT', 'for', 'pain', 'for', 'more', 'than', '3', 'months', '?']","['proceed', 'to', 'module', 'D']",24,4
What to do if the patient is not willing to engage in a comprehensive pain care plan?,What,368,exit algorithm; manage with non-opioid modalities,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'the', 'patient', 'is', 'not', 'willing', 'to', 'engage', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan', '?']","['exit', 'algorithm', ';', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",18,9
What to do if referral/consultation for evaluation and treatment is not indicated?,What,369,see if the patient is willing to engage in a comprehensive pain care plan,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'referral', '/', 'consultation', 'for', 'evaluation', 'and', 'treatment', 'is', 'not', 'indicated', '?']","['see', 'if', 'the', 'patient', 'is', 'willing', 'to', 'engage', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan']",15,14
What to do if patient risk outweighs benefits?,What,370,"see whether referral/consultation for evaluation and treatment is indicated (e.g., mental health, SUD, more intensive interdisciplinary care)",Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'patient', 'risk', 'outweighs', 'benefits', '?']","['see', 'whether', 'referral', '/', 'consultation', 'for', 'evaluation', 'and', 'treatment', 'is', 'indicated', '(', 'e.g.', ',', 'mental', 'health', ',', 'SUD', ',', 'more', 'intensive', 'interdisciplinary', 'care', ')']",9,24
What to do if the patient is willing to engage in a comprehensive pain care plan?,What,371,"educate the patient and family about treatment options, including education on known risks and unknown long-term benefits of OT, risks of SUD and overdose, need for risk mitigation strategies, naloxone rescue. Then see if adding OT to comprehensive pain therapy is indicated at this time.",Algorithm,0,0.044444444444444446,"['What', 'to', 'do', 'if', 'the', 'patient', 'is', 'willing', 'to', 'engage', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan', '?']","['educate', 'the', 'patient', 'and', 'family', 'about', 'treatment', 'options', ',', 'including', 'education', 'on', 'known', 'risks', 'and', 'unknown', 'long', '-', 'term', 'benefits', 'of', 'OT', ',', 'risks', 'of', 'SUD', 'and', 'overdose', ',', 'need', 'for', 'risk', 'mitigation', 'strategies', ',', 'naloxone', 'rescue', '.', 'Then', 'see', 'if', 'adding', 'OT', 'to', 'comprehensive', 'pain', 'therapy', 'is', 'indicated', 'at', 'this', 'time', '.']",17,53
What to do if the treatments are effective in managing pain and optimizing function?,What,372,exit algorithm; manage with non-opioid modalities,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'the', 'treatments', 'are', 'effective', 'in', 'managing', 'pain', 'and', 'optimizing', 'function', '?']","['exit', 'algorithm', ';', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",15,9
What to do if the patient is not prepared to accept responsibilities or the provider is not prepared to implement risk mitigation strategies?,What,373,exit algorithm; manage with non-opioid modalities,Algorithm,0,0.07692307692307691,"['What', 'to', 'do', 'if', 'the', 'patient', 'is', 'not', 'prepared', 'to', 'accept', 'responsibilities', 'or', 'the', 'provider', 'is', 'not', 'prepared', 'to', 'implement', 'risk', 'mitigation', 'strategies', '?']","['exit', 'algorithm', ';', 'manage', 'with', 'non', '-', 'opioid', 'modalities']",24,9
